universe_index,family,taxon
354,POACEAE,Brachypodium distachyon
355,POACEAE,Brachypodium phoenicoides
356,POACEAE,Brachypodium pinnatum subsp. rupestre
357,POACEAE,Brachypodium retusum
358,POACEAE,Brachypodium sylvaticum
359,BRASSICACEAE,Brassica napus
360,BRASSICACEAE,Brassica nigra
361,BRASSICACEAE,Brassica repanda subsp. cantabrica
362,BRASSICACEAE,Brassica repanda subsp. nudicaulis
363,ASPARAGACEAE,Brimeura amethystina
364,POACEAE,Briza maxima
365,POACEAE,Briza media
366,POACEAE,Briza minor
367,POACEAE,Bromus arvensis
368,POACEAE,Bromus benekenii
369,POACEAE,Bromus catharticus
370,POACEAE,Bromus diandrus
371,POACEAE,Bromus erectus
372,POACEAE,Bromus erectus subsp. erectus
373,POACEAE,Bromus hordeaceus
374,POACEAE,Bromus lanceolatus
375,POACEAE,Bromus madritensis
376,POACEAE,Bromus racemosus
377,POACEAE,Bromus ramosus
378,POACEAE,Bromus rigidus
379,POACEAE,Bromus rubens
380,POACEAE,Bromus squarrosus
381,POACEAE,Bromus sterilis
382,POACEAE,Bromus tectorum
383,CUCURBITACEAE,Bryonia dioica
384,CARYOPHYLLACEAE,Bufonia tenuifolia
385,BORAGINACEAE,Buglossoides arvensis
386,BORAGINACEAE,Buglossoides arvensis subsp. permixta
387,BORAGINACEAE,Buglossoides incrassata
388,APIACEAE,Bupleurum baldense
389,APIACEAE,Bupleurum falcatum
390,APIACEAE,Bupleurum fruticescens
391,APIACEAE,Bupleurum fruticosum
392,APIACEAE,Bupleurum gerardii
393,APIACEAE,Bupleurum praealtum
394,APIACEAE,Bupleurum ranunculoides
395,APIACEAE,Bupleurum rigidum
396,APIACEAE,Bupleurum rotundifolium
397,APIACEAE,Bupleurum semicompositum
398,APIACEAE,Bupleurum tenuissimum
399,BUXACEAE,Buxus sempervirens
400,POACEAE,Calamagrostis epigejos
401,POACEAE,Calamagrostis epigeros
402,POACEAE,Calamagrostis pseudophragmites
403,LAMIACEAE,Calamintha nepeta
404,LAMIACEAE,Calamintha nepeta subsp. sylvatica
405,ASTERACEAE,Calendula arvensis
406,ASTERACEAE,Calendula officinalis
407,BRASSICACEAE,Calepina irregularis
408,PLANTAGINACEAE,Callitriche lusitanica
409,PLANTAGINACEAE,Callitriche palustris
410,PLANTAGINACEAE,Callitriche stagnalis
411,ERICACEAE,Calluna vulgaris
412,CONVOLVULACEAE,Calystegia sepium
413,CONVOLVULACEAE,Calystegia sepium subsp. sepium
414,BRASSICACEAE,Camelina microcarpa
415,CAMPANULACEAE,Campanula dieckii
416,CAMPANULACEAE,Campanula erinus
417,CAMPANULACEAE,Campanula fastigiata
418,CAMPANULACEAE,Campanula glomerata
419,CAMPANULACEAE,Campanula hispanica
420,CAMPANULACEAE,Campanula matritensis
421,CAMPANULACEAE,Campanula patula
422,CAMPANULACEAE,Campanula paui
423,CAMPANULACEAE,Campanula persicifolia
424,CAMPANULACEAE,Campanula rapunculus
425,CAMPANULACEAE,Campanula rotundifolia
426,CAMPANULACEAE,Campanula rotundifolia subsp. hispanica
427,CAMPANULACEAE,Campanula scheuchzeri
428,CAMPANULACEAE,Campanula trachelium
429,CAMPANULACEAE,Campanula urbionensis
430,AMARANTHACEAE,Camphorosma monspeliaca
431,BRASSICACEAE,Capsella bursa-pastoris
432,BRASSICACEAE,Cardamine flexuosa
433,BRASSICACEAE,Cardamine hirsuta
434,BRASSICACEAE,Cardamine impatiens
435,BRASSICACEAE,Cardamine pratensis
436,ASTERACEAE,Carduncellus mitissimus
437,ASTERACEAE,Carduncellus monspelliensium
438,ASTERACEAE,Carduus assoi
439,ASTERACEAE,Carduus bourgeanus
440,ASTERACEAE,Carduus carlinoides
441,ASTERACEAE,Carduus carpetanus
442,ASTERACEAE,Carduus defloratus subsp. medius
443,ASTERACEAE,Carduus nigrescens
444,ASTERACEAE,Carduus nutans
445,ASTERACEAE,Carduus nutans subsp. nutans
446,ASTERACEAE,Carduus pycnocephalus
447,ASTERACEAE,Carduus tenuiflorus
448,CYPERACEAE,Carex acuta
449,CYPERACEAE,Carex acutiformis
450,CYPERACEAE,Carex asturica
451,CYPERACEAE,Carex binervis
452,CYPERACEAE,Carex brevicollis
453,CYPERACEAE,Carex canescens
454,CYPERACEAE,Carex capillaris
455,CYPERACEAE,Carex caryophyllea
456,CYPERACEAE,Carex cuprina
457,CYPERACEAE,Carex demissa
458,CYPERACEAE,Carex distachya
459,CYPERACEAE,Carex distans
460,CYPERACEAE,Carex divisa
461,CYPERACEAE,Carex divulsa
462,CYPERACEAE,Carex divulsa subsp. divulsa
463,CYPERACEAE,Carex divulsa subsp. leersii
464,CYPERACEAE,Carex echinata
465,CYPERACEAE,Carex elata
466,CYPERACEAE,Carex elata subsp. elata
467,CYPERACEAE,Carex flacca
468,CYPERACEAE,Carex flacca subsp. flacca
469,CYPERACEAE,Carex flacca subsp. serrulata
470,CYPERACEAE,Carex hallerana
471,CYPERACEAE,Carex hirta
472,CYPERACEAE,Carex hordeistichos
473,CYPERACEAE,Carex humilis
474,CYPERACEAE,Carex laevigata
475,CYPERACEAE,Carex lepidocarpa
476,CYPERACEAE,Carex leporina
477,CYPERACEAE,Carex liparocarpos
478,CYPERACEAE,Carex mairei
479,CYPERACEAE,Carex mairii
480,CYPERACEAE,Carex nigra
481,CYPERACEAE,Carex ornithopoda
482,CYPERACEAE,Carex otrubae
483,CYPERACEAE,Carex ovalis
484,CYPERACEAE,Carex pairae
485,CYPERACEAE,Carex pallescens
486,CYPERACEAE,Carex panicea
487,CYPERACEAE,Carex paniculata subsp. lusitanica
488,CYPERACEAE,Carex pendula
489,CYPERACEAE,Carex pilulifera
490,CYPERACEAE,Carex pseudocyperus
491,CYPERACEAE,Carex pulicaris
492,CYPERACEAE,Carex remota
493,CYPERACEAE,Carex riparia
494,CYPERACEAE,Carex rostrata
495,CYPERACEAE,Carex spicata
496,CYPERACEAE,Carex sylvatica
497,CYPERACEAE,Carex sylvatica subsp. sylvatica
498,ASTERACEAE,Carlina acanthifolia subsp. cynara
499,ASTERACEAE,Carlina acaulis
500,ASTERACEAE,Carlina corymbosa subsp. hispanica
501,ASTERACEAE,Carlina lanata
502,ASTERACEAE,Carlina vulgaris subsp. spinosa
503,ASTERACEAE,Carlina vulgaris subsp. vulgaris
504,ASTERACEAE,Carthamus lanatus
505,APIACEAE,Carum verticillatum
506,FAGACEAE,Castanea sativa
507,POACEAE,Catabrosa aquatica
508,ASTERACEAE,Catananche caerulea
509,POACEAE,Catapodium rigidum
510,APIACEAE,Caucalis platycarpos
511,ASTERACEAE,Centaurea alba
512,ASTERACEAE,Centaurea aspera
513,ASTERACEAE,Centaurea aspera subsp. aspera
514,ASTERACEAE,Centaurea bofiliana
515,ASTERACEAE,Centaurea calcitrapa
516,ASTERACEAE,Centaurea cephalariifolia
517,ASTERACEAE,Centaurea cyanus
518,ASTERACEAE,Centaurea debeauxii
519,ASTERACEAE,Centaurea graminifolia
520,ASTERACEAE,Centaurea jacea subsp. angustifolia
521,ASTERACEAE,Centaurea janeri
522,ASTERACEAE,Centaurea lagascana
523,ASTERACEAE,Centaurea langei
524,ASTERACEAE,Centaurea linifolia
525,ASTERACEAE,Centaurea melitensis
526,ASTERACEAE,Centaurea montana
527,ASTERACEAE,Centaurea nigra
528,ASTERACEAE,Centaurea ornata
529,ASTERACEAE,Centaurea paniculata
530,ASTERACEAE,Centaurea scabiosa
531,ASTERACEAE,Centaurea solstitialis
532,ASTERACEAE,Centaurea triumfetti subsp. semidecurrens
533,ASTERACEAE,Centaurea vinyalsii
534,ASTERACEAE,Centaurea x zubiae
535,GENTIANACEAE,Centaurium erythraea
536,GENTIANACEAE,Centaurium grandiflorum
537,GENTIANACEAE,Centaurium grandiflorum subsp. majus
538,GENTIANACEAE,Centaurium pulchellum
539,GENTIANACEAE,Centaurium quadrifolium subsp. parviflorum
540,GENTIANACEAE,Centaurium tenuiflorum
541,CAPRIFOLIACEAE,Centranthus calcitrape
542,CAPRIFOLIACEAE,Centranthus lecoqii
543,CAPRIFOLIACEAE,Centranthus ruber
544,CAPRIFOLIACEAE,Centranthus ruber subsp. ruber
545,ORCHIDACEAE,Cephalanthera damasonium
546,ORCHIDACEAE,Cephalanthera longifolia
547,ORCHIDACEAE,Cephalanthera rubra
548,CAPRIFOLIACEAE,Cephalaria leucantha
549,CARYOPHYLLACEAE,Cerastium arvense
550,CARYOPHYLLACEAE,Cerastium brachypetalum
551,CARYOPHYLLACEAE,Cerastium cerastoides
552,CARYOPHYLLACEAE,Cerastium diffusum
553,CARYOPHYLLACEAE,Cerastium fontanum subsp. vulgare
554,CARYOPHYLLACEAE,Cerastium glomeratum
555,CARYOPHYLLACEAE,Cerastium gracile
556,CARYOPHYLLACEAE,Cerastium pumilum
557,CARYOPHYLLACEAE,Cerastium ramosissimum
558,CARYOPHYLLACEAE,Cerastium semidecandrum
559,PAPAVERACEAE,Ceratocapnos claviculata
560,RANUNCULACEAE,Ceratocephala falcata
561,CERATOPHYLLACEAE,Ceratophyllum demersum
562,CERATOPHYLLACEAE,Ceratophyllum submersum
563,PLANTAGINACEAE,Chaenorhinum crassifolium
564,PLANTAGINACEAE,Chaenorhinum exile
565,PLANTAGINACEAE,Chaenorhinum minus
566,PLANTAGINACEAE,Chaenorhinum origanifolium
567,PLANTAGINACEAE,Chaenorhinum rubrifolium
568,PLANTAGINACEAE,Chaenorhinum rupestre
569,PLANTAGINACEAE,Chaenorhinum segoviense
570,PLANTAGINACEAE,Chaenorhinum semiglabrum
571,PLANTAGINACEAE,Chaenorhinum serpyllifolium
572,APIACEAE,Chaerophyllum aureum
573,APIACEAE,Chaerophyllum hirsutum
574,APIACEAE,Chaerophyllum nodosum
575,APIACEAE,Chaerophyllum temulentum
576,APIACEAE,Chaerophyllum temulum
577,IRIDACEAE,Chamaeiris foetidissima
578,IRIDACEAE,Chamaeiris reichenbachiana
579,ASTERACEAE,Chamaemelaum nobile
580,ASTERACEAE,Chamaemelum nobile
581,FABACEAE,Chamaespartium delphinense
582,FABACEAE,Chamaespartium sagittale
583,EUPHORBIACEAE,Chamaesyce canescens
584,EUPHORBIACEAE,Chamaesyce prostrata
585,EUPHORBIACEAE,Chamaesyce serpens
586,PTERIDACEAE,Cheilanthes acrostica
587,PTERIDACEAE,Cheilanthes maderensis
588,ASTERACEAE,Cheirolophus intybaceus
589,PAPAVERACEAE,Chelidonium majus
590,AMARANTHACEAE,Chenopodium album
591,AMARANTHACEAE,Chenopodium album subsp. reticulatum
592,AMARANTHACEAE,Chenopodium ambrosioides
593,AMARANTHACEAE,Chenopodium bonus-henricus
594,AMARANTHACEAE,Chenopodium botrys
595,AMARANTHACEAE,Chenopodium chenopodioides
596,AMARANTHACEAE,Chenopodium exsuccum
597,AMARANTHACEAE,Chenopodium ficifolium
598,AMARANTHACEAE,Chenopodium foliosum
599,AMARANTHACEAE,Chenopodium hybridum
600,AMARANTHACEAE,Chenopodium murale
601,AMARANTHACEAE,Chenopodium opulifolium
602,AMARANTHACEAE,Chenopodium polyspermum
603,AMARANTHACEAE,Chenopodium urbicum
604,AMARANTHACEAE,Chenopodium vulvaria
605,ASTERACEAE,Chiliadenus glutinosus
606,ASTERACEAE,Chondrilla juncea
607,EUPHORBIACEAE,Chrozophora tinctoria
608,SAXIFRAGACEAE,Chrysosplenium oppositifolium
609,GENTIANACEAE,Cicendia filiformis
610,FABACEAE,Cicer arietinum
611,ASTERACEAE,Cichorium intybus
612,ONAGRACEAE,Circaea lutetiana
613,ASTERACEAE,Cirsium arvense
614,ASTERACEAE,Cirsium echinatum
615,ASTERACEAE,Cirsium eriophorum
616,ASTERACEAE,Cirsium ferox
617,ASTERACEAE,Cirsium filipendulum
618,ASTERACEAE,Cirsium monspessulanum
619,ASTERACEAE,Cirsium odontolepis
620,ASTERACEAE,Cirsium palustre
621,ASTERACEAE,Cirsium pyrenaicum
