universe_index,family,input_taxon,source_taxon,accepted_source_taxon,territorial_scope,category,category_system,publication_year,source,source_institution,source_reference,source_url,taxonomic_resolution_state,taxonomic_reconciliation_reference,evidence_state,uncertainty,scoring_performed
1401,FABACEAE,Lathyrus occidentalis,Lathyrus occidentalis,Lathyrus occidentalis,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
,, ,Littorela uniflora,,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,TAXON_UNRESOLVED,,TAXON_UNRESOLVED,"Source spells Littorela uniflora; canonical universe contains Littorella uniflora, but orthographic correction is not asserted without an explicit taxonomic reconciliation source",NO
1678,LAMIACEAE,Nepeta beltranii,Nepeta beltranii,Nepeta beltranii,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
1716,FABACEAE,Ononis aragonensis,Ononis aragonensis,Ononis aragonensis,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
1891,LENTIBULARIACEAE,Pinguicula lusitanica,Pinguicula lusitanica,Pinguicula lusitanica,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
2025,ROSACEAE,Prunus lusitanica,Prunus lusitanica,Prunus lusitanica,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
2062,RANUNCULACEAE,Ranunculus aconitifolius,Ranunculus aconitifolius,Ranunculus aconitifolius,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
2132,GROSSULARIACEAE,Ribes petraeum,Ribes petraeum,Ribes petraeum,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
2448,ORCHIDACEAE,Spiranthes aestivalis,Spiranthes aestivalis,Spiranthes aestivalis,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
2617,LENTIBULARIACEAE,Utricularia australis,Utricularia australis,Utricularia australis,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
1739,OPHIOGLOSSACEAE,Ophioglossum vulgatum,Ophioglossum vulgatum,Ophioglossum vulgatum,La Rioja,EX,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), text states Ophioglossum vulgatum is extinct (EX)",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
