universe_index,genus,family,taxon
41,Aethionema,BRASSICACEAE,Aethionema saxatile subsp. ovalifolium
42,Aethionema,BRASSICACEAE,Aethionema thomasianum
43,Agrimonia,ROSACEAE,Agrimonia eupatoria
44,Agropyron,POACEAE,Agropyron cristatum subsp. pectinatum
45,Agrostemma,CARYOPHYLLACEAE,Agrostemma githago
46,Agrostis,POACEAE,Agrostis alpina
47,Agrostis,POACEAE,Agrostis canina
48,Agrostis,POACEAE,Agrostis capillaris
49,Agrostis,POACEAE,Agrostis castellana
50,Agrostis,POACEAE,Agrostis curtisii
51,Agrostis,POACEAE,Agrostis delicatula
52,Agrostis,POACEAE,Agrostis rupestris
53,Agrostis,POACEAE,Agrostis stolonifera
54,Aira,POACEAE,Aira caryophyllea
55,Aira,POACEAE,Aira cupaniana
56,Aira,POACEAE,Aira praecox
57,Airopsis,POACEAE,Airopsis tenella
58,Aizoon,AIZOACEAE,Aizoon hispanicum
59,Ajuga,LAMIACEAE,Ajuga chamaepitys
60,Ajuga,LAMIACEAE,Ajuga genevensis
61,Ajuga,LAMIACEAE,Ajuga pyramidalis
62,Ajuga,LAMIACEAE,Ajuga reptans
63,Alisma,ALISMATACEAE,Alisma lanceolatum
64,Alisma,ALISMATACEAE,Alisma plantago-aquatica
65,Alliaria,BRASSICACEAE,Alliaria petiolata
66,Allium,AMARYLLIDACEAE,Allium ampeloprasum
67,Allium,AMARYLLIDACEAE,Allium ampeloprasum subsp. ampeloprasum
68,Allium,AMARYLLIDACEAE,Allium ampeloprasum subsp. porrum
69,Allium,AMARYLLIDACEAE,Allium atroviolaceum
70,Allium,AMARYLLIDACEAE,Allium carinatum
71,Allium,AMARYLLIDACEAE,Allium chamaemoly
72,Allium,AMARYLLIDACEAE,Allium ericetorum
73,Allium,AMARYLLIDACEAE,Allium flavum
74,Allium,AMARYLLIDACEAE,Allium moschatum
75,Allium,AMARYLLIDACEAE,Allium neapolitanum
76,Allium,AMARYLLIDACEAE,Allium nigrum
77,Allium,AMARYLLIDACEAE,Allium oleraceum
78,Allium,AMARYLLIDACEAE,Allium pallens
79,Allium,AMARYLLIDACEAE,Allium paniculatum
80,Allium,AMARYLLIDACEAE,Allium roseum
81,Allium,AMARYLLIDACEAE,Allium schoenoprasum
82,Allium,AMARYLLIDACEAE,Allium scorodoprasum
83,Allium,AMARYLLIDACEAE,Allium senescens
84,Allium,AMARYLLIDACEAE,Allium sphaerocephalon
85,Allium,AMARYLLIDACEAE,Allium subhirsutum
86,Allium,AMARYLLIDACEAE,Allium ursinum
87,Allium,AMARYLLIDACEAE,Allium vineale
88,Alnus,BETULACEAE,Alnus glutinosa
89,Alopecurus,POACEAE,Alopecurus aequalis
90,Alopecurus,POACEAE,Alopecurus arundinaceus
91,Alopecurus,POACEAE,Alopecurus bulbosus
92,Alopecurus,POACEAE,Alopecurus geniculatus
93,Alopecurus,POACEAE,Alopecurus myosuroides
94,Alopecurus,POACEAE,Alopecurus pratensis
95,Althaea,MALVACEAE,Althaea cannabina
96,Althaea,MALVACEAE,Althaea hirsuta
97,Althaea,MALVACEAE,Althaea officinalis
98,Alyssum,BRASSICACEAE,Alyssum alyssoides
99,Alyssum,BRASSICACEAE,Alyssum desertorum
100,Alyssum,BRASSICACEAE,Alyssum granatense
101,Alyssum,BRASSICACEAE,Alyssum linifolium
102,Alyssum,BRASSICACEAE,Alyssum loiseleurii
103,Alyssum,BRASSICACEAE,Alyssum montanum
104,Alyssum,BRASSICACEAE,Alyssum simplex
105,Amaranthus,AMARANTHACEAE,Amaranthus albus
106,Amaranthus,AMARANTHACEAE,Amaranthus blitoides
107,Amaranthus,AMARANTHACEAE,Amaranthus blitum
108,Amaranthus,AMARANTHACEAE,Amaranthus cruentus
109,Amaranthus,AMARANTHACEAE,Amaranthus deflexus
110,Amaranthus,AMARANTHACEAE,Amaranthus graecizans
111,Amaranthus,AMARANTHACEAE,Amaranthus hybridus
112,Amaranthus,AMARANTHACEAE,Amaranthus muricatus
113,Amaranthus,AMARANTHACEAE,Amaranthus powellii
114,Amaranthus,AMARANTHACEAE,Amaranthus retroflexus
115,Amaranthus,AMARANTHACEAE,Amaranthus viridis
116,Amelanchier,ROSACEAE,Amelanchier ovalis
117,Ammi,APIACEAE,Ammi majus
118,Ammi,APIACEAE,Ammi visnaga
119,Anacamptis,ORCHIDACEAE,Anacamptis champagneuxii
120,Anacamptis,ORCHIDACEAE,Anacamptis coriophora
121,Anacamptis,ORCHIDACEAE,Anacamptis laxiflora
122,Anacamptis,ORCHIDACEAE,Anacamptis morio
123,Anacamptis,ORCHIDACEAE,Anacamptis palustris
124,Anacamptis,ORCHIDACEAE,Anacamptis papilionacea
125,Anacamptis,ORCHIDACEAE,Anacamptis pyramidalis
126,Anacyclus,ASTERACEAE,Anacyclus clavatus
127,Anacyclus,ASTERACEAE,Anacyclus radiatus
128,Anagallis,PRIMULACEAE,Anagallis arvensis
129,Anagallis,PRIMULACEAE,Anagallis foemina
130,Anagallis,PRIMULACEAE,Anagallis minima
131,Anagyris,FABACEAE,Anagyris foetida
132,Anchusa,BORAGINACEAE,Anchusa azurea
133,Anchusa,BORAGINACEAE,Anchusa italica
134,Androsace,PRIMULACEAE,Androsace maxima
135,Androsace,PRIMULACEAE,Androsace rioxana
136,Androsace,PRIMULACEAE,Androsace villosa
137,Andryala,ASTERACEAE,Andryala integrifolia
138,Andryala,ASTERACEAE,Andryala ragusina
139,Anemone,RANUNCULACEAE,Anemone nemorosa
140,Anemone,RANUNCULACEAE,Anemone palmata
141,Anemone,RANUNCULACEAE,Anemone pavoniana
142,Anemone,RANUNCULACEAE,Anemone ranunculoides
143,Anemone,RANUNCULACEAE,Anemone sylvestris
144,Anemone,RANUNCULACEAE,Anemone trifolia
145,Anemone,RANUNCULACEAE,Anemone vernalis
146,Angelica,APIACEAE,Angelica sylvestris
147,Antennaria,ASTERACEAE,Antennaria dioica
148,Anthemis,ASTERACEAE,Anthemis arvensis
149,Anthemis,ASTERACEAE,Anthemis cotula
150,Anthemis,ASTERACEAE,Anthemis maritima
151,Anthemis,ASTERACEAE,Anthemis tinctoria
152,Anthericum,ASPARAGACEAE,Anthericum liliago
153,Anthericum,ASPARAGACEAE,Anthericum ramosum
154,Anthoxanthum,POACEAE,Anthoxanthum aristatum
155,Anthoxanthum,POACEAE,Anthoxanthum odoratum
156,Anthriscus,APIACEAE,Anthriscus caucalis
157,Anthriscus,APIACEAE,Anthriscus sylvestris
158,Anthyllis,FABACEAE,Anthyllis barba-jovis
159,Anthyllis,FABACEAE,Anthyllis cytisoides
160,Anthyllis,FABACEAE,Anthyllis gerardi
161,Anthyllis,FABACEAE,Anthyllis montana
162,Anthyllis,FABACEAE,Anthyllis vulneraria
163,Anthyllis,FABACEAE,Anthyllis vulneraria subsp. alpestris
164,Anthyllis,FABACEAE,Anthyllis vulneraria subsp. forondae
165,Anthyllis,FABACEAE,Anthyllis vulneraria subsp. gandogeri
166,Anthyllis,FABACEAE,Anthyllis vulneraria subsp. iberica
167,Anthyllis,FABACEAE,Anthyllis vulneraria subsp. maura
168,Antirrhinum,PLANTAGINACEAE,Antirrhinum barrelieri
169,Antirrhinum,PLANTAGINACEAE,Antirrhinum majus
170,Antirrhinum,PLANTAGINACEAE,Antirrhinum molle
171,Antirrhinum,PLANTAGINACEAE,Antirrhinum pulverulentum
172,Aphanes,ROSACEAE,Aphanes arvensis
173,Aphanes,ROSACEAE,Aphanes australis
174,Apium,APIACEAE,Apium graveolens
175,Aquilegia,RANUNCULACEAE,Aquilegia pyrenaica
176,Aquilegia,RANUNCULACEAE,Aquilegia vulgaris
177,Arabidopsis,BRASSICACEAE,Arabidopsis thaliana
178,Arabis,BRASSICACEAE,Arabis alpina
179,Arabis,BRASSICACEAE,Arabis auriculata
180,Arabis,BRASSICACEAE,Arabis ciliata
181,Arabis,BRASSICACEAE,Arabis collina
182,Arabis,BRASSICACEAE,Arabis hirsuta
183,Arabis,BRASSICACEAE,Arabis nova
184,Arabis,BRASSICACEAE,Arabis pauciflora
185,Arabis,BRASSICACEAE,Arabis planisiliqua
186,Arabis,BRASSICACEAE,Arabis sagittata
187,Arabis,BRASSICACEAE,Arabis scabra
188,Arabis,BRASSICACEAE,Arabis turrita
189,Arceuthobium,SANTALACEAE,Arceuthobium oxycedri
190,Arctium,ASTERACEAE,Arctium lappa
191,Arctium,ASTERACEAE,Arctium minus
192,Arctium,ASTERACEAE,Arctium nemorosum
193,Arctostaphylos,ERICACEAE,Arctostaphylos uva-ursi
194,Arenaria,CARYOPHYLLACEAE,Arenaria aggregata
195,Arenaria,CARYOPHYLLACEAE,Arenaria armerina
196,Arenaria,CARYOPHYLLACEAE,Arenaria biflora
197,Arenaria,CARYOPHYLLACEAE,Arenaria capillipes
198,Arenaria,CARYOPHYLLACEAE,Arenaria conimbricensis
199,Arenaria,CARYOPHYLLACEAE,Arenaria erinacea
200,Arenaria,CARYOPHYLLACEAE,Arenaria grandiflora
201,Arenaria,CARYOPHYLLACEAE,Arenaria leptoclados
202,Arenaria,CARYOPHYLLACEAE,Arenaria modesta
203,Arenaria,CARYOPHYLLACEAE,Arenaria montana
204,Arenaria,CARYOPHYLLACEAE,Arenaria obtusiflora
205,Arenaria,CARYOPHYLLACEAE,Arenaria purpurascens
206,Arenaria,CARYOPHYLLACEAE,Arenaria querioides
207,Arenaria,CARYOPHYLLACEAE,Arenaria serpyllifolia
208,Arenaria,CARYOPHYLLACEAE,Arenaria tetraquetra
209,Argyrolobium,FABACEAE,Argyrolobium zanonii
210,Aristolochia,ARISTOLOCHIACEAE,Aristolochia clematitis
211,Aristolochia,ARISTOLOCHIACEAE,Aristolochia longa
212,Aristolochia,ARISTOLOCHIACEAE,Aristolochia paucinervis
213,Aristolochia,ARISTOLOCHIACEAE,Aristolochia pistolochia
214,Armeria,PLUMBAGINACEAE,Armeria alpina
215,Armeria,PLUMBAGINACEAE,Armeria arenaria
216,Armeria,PLUMBAGINACEAE,Armeria cantabrica
217,Armeria,PLUMBAGINACEAE,Armeria duriaei
218,Armeria,PLUMBAGINACEAE,Armeria euscadiensis
219,Armeria,PLUMBAGINACEAE,Armeria pubinervis
220,Armeria,PLUMBAGINACEAE,Armeria rothmaleri
221,Armeria,PLUMBAGINACEAE,Armeria ruscinonensis
222,Armeria,PLUMBAGINACEAE,Armeria transmontana
223,Armeria,PLUMBAGINACEAE,Armeria villosa
224,Armeria,PLUMBAGINACEAE,Armeria villosa subsp. carratracensis
225,Armeria,PLUMBAGINACEAE,Armeria villosa subsp. longiaristata
226,Arnica,ASTERACEAE,Arnica montana
227,Arnoseris,ASTERACEAE,Arnoseris minima
228,Arrhenatherum,POACEAE,Arrhenatherum album
229,Arrhenatherum,POACEAE,Arrhenatherum elatius
230,Artemisia,ASTERACEAE,Artemisia absinthium
231,Artemisia,ASTERACEAE,Artemisia alba
232,Artemisia,ASTERACEAE,Artemisia campestris
233,Artemisia,ASTERACEAE,Artemisia campestris subsp. glutinosa
234,Artemisia,ASTERACEAE,Artemisia herba-alba
235,Artemisia,ASTERACEAE,Artemisia verlotiorum
236,Arum,ARACEAE,Arum italicum
237,Arum,ARACEAE,Arum maculatum
238,Aruncus,ROSACEAE,Aruncus dioicus
239,Asarina,PLANTAGINACEAE,Asarina procumbens
240,Asparagus,ASPARAGACEAE,Asparagus acutifolius
241,Asparagus,ASPARAGACEAE,Asparagus albus
242,Asparagus,ASPARAGACEAE,Asparagus horridus
243,Asparagus,ASPARAGACEAE,Asparagus officinalis
244,Asparagus,ASPARAGACEAE,Asparagus tenuifolius
245,Asperula,RUBIACEAE,Asperula arvensis
246,Asperula,RUBIACEAE,Asperula cynanchica
247,Asperula,RUBIACEAE,Asperula hirta
248,Asperula,RUBIACEAE,Asperula hirsuta
249,Asperula,RUBIACEAE,Asperula laevigata
250,Asperula,RUBIACEAE,Asperula paui
251,Asplenium,ASPLENIACEAE,Asplenium adiantum-nigrum
252,Asplenium,ASPLENIACEAE,Asplenium billotii
253,Asplenium,ASPLENIACEAE,Asplenium ceterach
254,Asplenium,ASPLENIACEAE,Asplenium fontanum
255,Asplenium,ASPLENIACEAE,Asplenium foreziense
256,Asplenium,ASPLENIACEAE,Asplenium obovatum
257,Asplenium,ASPLENIACEAE,Asplenium petrarchae
258,Asplenium,ASPLENIACEAE,Asplenium ruta-muraria
259,Asplenium,ASPLENIACEAE,Asplenium seelosii
260,Asplenium,ASPLENIACEAE,Asplenium septentrionale
261,Asplenium,ASPLENIACEAE,Asplenium trichomanes
262,Asplenium,ASPLENIACEAE,Asplenium trichomanes subsp. quadrivalens
263,Asplenium,ASPLENIACEAE,Asplenium viride
264,Aster,ASTERACEAE,Aster alpinus
265,Aster,ASTERACEAE,Aster linosyris
266,Aster,ASTERACEAE,Aster pyrenaeus
267,Asteriscus,ASTERACEAE,Asteriscus aquaticus
268,Asterolinon,PRIMULACEAE,Asterolinon linum-stellatum
269,Astragalus,FABACEAE,Astragalus alopecuroides
270,Astragalus,FABACEAE,Astragalus aristatus
271,Astragalus,FABACEAE,Astragalus australis
272,Astragalus,FABACEAE,Astragalus baionensis
273,Astragalus,FABACEAE,Astragalus boeticus
274,Astragalus,FABACEAE,Astragalus bourgaeanus
275,Astragalus,FABACEAE,Astragalus caprinus
276,Astragalus,FABACEAE,Astragalus danicus
277,Astragalus,FABACEAE,Astragalus depressus
278,Astragalus,FABACEAE,Astragalus echinatus
279,Astragalus,FABACEAE,Astragalus epiglottis
280,Astragalus,FABACEAE,Astragalus glycyphyllos
281,Astragalus,FABACEAE,Astragalus hamosus
282,Astragalus,FABACEAE,Astragalus incanus
283,Astragalus,FABACEAE,Astragalus lusitanicus
284,Astragalus,FABACEAE,Astragalus monspessulanus
285,Astragalus,FABACEAE,Astragalus sesameus
286,Astragalus,FABACEAE,Astragalus stella
287,Astragalus,FABACEAE,Astragalus tragacantha
288,Athyrium,ATHYRIACEAE,Athyrium filix-femina
289,Atractylis,ASTERACEAE,Atractylis cancellata
290,Atractylis,ASTERACEAE,Atractylis humilis
291,Atriplex,AMARANTHACEAE,Atriplex glauca
292,Atriplex,AMARANTHACEAE,Atriplex halimus
293,Atriplex,AMARANTHACEAE,Atriplex hastata
294,Atriplex,AMARANTHACEAE,Atriplex littoralis
295,Atriplex,AMARANTHACEAE,Atriplex patula
296,Atriplex,AMARANTHACEAE,Atriplex prostrata
297,Avena,POACEAE,Avena barbata
298,Avena,POACEAE,Avena barbata subsp. lusitanica
299,Avena,POACEAE,Avena barbata subsp. sativa
300,Avena,POACEAE,Avena byzantina
301,Avena,POACEAE,Avena fatua
302,Avena,POACEAE,Avena sativa
303,Avena,POACEAE,Avena sterilis
304,Avena,POACEAE,Avena sterilis subsp. ludoviciana
305,Avenella,POACEAE,Avenella flexuosa
306,Avenula,POACEAE,Avenula bromoides
307,Avenula,POACEAE,Avenula marginata
308,Avenula,POACEAE,Avenula pratensis
309,Avenula,POACEAE,Avenula pubescens
310,Azolla,SALVINIACEAE,Azolla filiculoides
311,Baldellia,ALISMATACEAE,Baldellia alpestris
312,Baldellia,ALISMATACEAE,Baldellia ranunculoides
313,Ballota,LAMIACEAE,Ballota hirsuta
314,Ballota,LAMIACEAE,Ballota nigra
315,Barbarea,BRASSICACEAE,Barbarea intermedia
316,Barbarea,BRASSICACEAE,Barbarea verna
317,Barbarea,BRASSICACEAE,Barbarea vulgaris
318,Bellardia,OROBANCHACEAE,Bellardia trixago
319,Bellis,ASTERACEAE,Bellis annua
320,Bellis,ASTERACEAE,Bellis perennis
321,Berberis,BERBERIDACEAE,Berberis vulgaris
322,Beta,AMARANTHACEAE,Beta maritima
323,Betula,BETULACEAE,Betula alba
324,Betula,BETULACEAE,Betula pendula
325,Betula,BETULACEAE,Betula pubescens
326,Bidens,ASTERACEAE,Bidens aurea
327,Bidens,ASTERACEAE,Bidens cernua
328,Bidens,ASTERACEAE,Bidens frondosa
329,Bidens,ASTERACEAE,Bidens tripartita
330,Biscutella,BRASSICACEAE,Biscutella auriculata
331,Biscutella,BRASSICACEAE,Biscutella laevigata
332,Biscutella,BRASSICACEAE,Biscutella lusitanica
333,Biscutella,BRASSICACEAE,Biscutella valentina
334,Bituminaria,FABACEAE,Bituminaria bituminosa
335,Blackstonia,GENTIANACEAE,Blackstonia acuminata
336,Blackstonia,GENTIANACEAE,Blackstonia perfoliata
337,Blechnum,BLECHNACEAE,Blechnum spicant
338,Blysmus,CYPERACEAE,Blysmus compressus
339,Bolboschoenus,CYPERACEAE,Bolboschoenus maritimus
340,Borago,BORAGINACEAE,Borago officinalis
341,Botrypus,OPHIOGLOSSACEAE,Botrypus lunaria
342,Brachypodium,POACEAE,Brachypodium distachyon
343,Brachypodium,POACEAE,Brachypodium phoenicoides
344,Brachypodium,POACEAE,Brachypodium pinnatum
345,Brachypodium,POACEAE,Brachypodium retusum
346,Brachypodium,POACEAE,Brachypodium rupestre
347,Brachypodium,POACEAE,Brachypodium sylvaticum
348,Brassica,BRASSICACEAE,Brassica barrelieri
349,Brassica,BRASSICACEAE,Brassica fruticulosa
350,Brassica,BRASSICACEAE,Brassica nigra
351,Briza,POACEAE,Briza maxima
352,Briza,POACEAE,Briza media
353,Briza,POACEAE,Briza minor
354,Bromus,POACEAE,Bromus alopecuros
355,Bromus,POACEAE,Bromus arvensis
356,Bromus,POACEAE,Bromus benekenii
357,Bromus,POACEAE,Bromus catharticus
358,Bromus,POACEAE,Bromus commutatus
359,Bromus,POACEAE,Bromus diandrus
360,Bromus,POACEAE,Bromus erectus
361,Bromus,POACEAE,Bromus hordeaceus
362,Bromus,POACEAE,Bromus inermis
363,Bromus,POACEAE,Bromus lanceolatus
364,Bromus,POACEAE,Bromus madritensis
365,Bromus,POACEAE,Bromus racemosus
366,Bromus,POACEAE,Bromus rigidus
367,Bromus,POACEAE,Bromus rubens
368,Bromus,POACEAE,Bromus secalinus
369,Bromus,POACEAE,Bromus squarrosus
370,Bromus,POACEAE,Bromus sterilis
371,Bromus,POACEAE,Bromus tectorum
372,Bryonia,CUCURBITACEAE,Bryonia cretica
373,Bryonia,CUCURBITACEAE,Bryonia dioica
374,Bupleurum,APIACEAE,Bupleurum baldense
375,Bupleurum,APIACEAE,Bupleurum falcatum
376,Bupleurum,APIACEAE,Bupleurum fruticescens
377,Bupleurum,APIACEAE,Bupleurum fruticosum
378,Bupleurum,APIACEAE,Bupleurum gerardii
379,Bupleurum,APIACEAE,Bupleurum gibraltaricum
380,Bupleurum,APIACEAE,Bupleurum lancifolium
381,Bupleurum,APIACEAE,Bupleurum rigidum
382,Bupleurum,APIACEAE,Bupleurum rotundifolium
383,Bupleurum,APIACEAE,Bupleurum semicompositum
384,Butomus,BUTOMACEAE,Butomus umbellatus
385,Buxus,BUXACEAE,Buxus sempervirens
386,Cakile,BRASSICACEAE,Cakile maritima
387,Calamagrostis,POACEAE,Calamagrostis arundinacea
388,Calamagrostis,POACEAE,Calamagrostis canescens
389,Calamagrostis,POACEAE,Calamagrostis epigejos
390,Calamagrostis,POACEAE,Calamagrostis pseudophragmites
391,Calamintha,LAMIACEAE,Calamintha menthifolia
392,Calamintha,LAMIACEAE,Calamintha nepeta
393,Calendula,ASTERACEAE,Calendula arvensis
394,Calendula,ASTERACEAE,Calendula officinalis
395,Callitriche,PLANTAGINACEAE,Callitriche brutia
396,Callitriche,PLANTAGINACEAE,Callitriche hamulata
397,Callitriche,PLANTAGINACEAE,Callitriche obtusangula
398,Callitriche,PLANTAGINACEAE,Callitriche palustris
399,Callitriche,PLANTAGINACEAE,Callitriche stagnalis
400,Calluna,ERICACEAE,Calluna vulgaris
401,Caltha,RANUNCULACEAE,Caltha palustris
402,Camelina,BRASSICACEAE,Camelina microcarpa
403,Camelina,BRASSICACEAE,Camelina sativa
404,Campanula,CAMPANULACEAE,Campanula alpina
405,Campanula,CAMPANULACEAE,Campanula erinus
406,Campanula,CAMPANULACEAE,Campanula glomerata
407,Campanula,CAMPANULACEAE,Campanula hispanica
408,Campanula,CAMPANULACEAE,Campanula lusitanica
409,Campanula,CAMPANULACEAE,Campanula patula
410,Campanula,CAMPANULACEAE,Campanula persicifolia
411,Campanula,CAMPANULACEAE,Campanula rapunculus
412,Campanula,CAMPANULACEAE,Campanula rotundifolia
413,Campanula,CAMPANULACEAE,Campanula scheuchzeri
414,Campanula,CAMPANULACEAE,Campanula trachelium
415,Campanula,CAMPANULACEAE,Campanula urticifolia
416,Cannabis,CANNABACEAE,Cannabis sativa
417,Capparis,CAPPARACEAE,Capparis spinosa
418,Capsella,BRASSICACEAE,Capsella bursa-pastoris
419,Cardamine,BRASSICACEAE,Cardamine amara
420,Cardamine,BRASSICACEAE,Cardamine flexuosa
421,Cardamine,BRASSICACEAE,Cardamine hirsuta
422,Cardamine,BRASSICACEAE,Cardamine impatiens
423,Cardamine,BRASSICACEAE,Cardamine pratensis
424,Cardamine,BRASSICACEAE,Cardamine raphanifolia
425,Cardamine,BRASSICACEAE,Cardamine resedifolia
426,Cardaria,BRASSICACEAE,Cardaria draba
427,Carduus,ASTERACEAE,Carduus assoi
428,Carduus,ASTERACEAE,Carduus carpetanus
429,Carduus,ASTERACEAE,Carduus carlinifolius
430,Carduus,ASTERACEAE,Carduus defloratus
431,Carduus,ASTERACEAE,Carduus nutans
432,Carduus,ASTERACEAE,Carduus pycnocephalus
433,Carduus,ASTERACEAE,Carduus tenuiflorus
434,Carex,CYPERACEAE,Carex acuta
435,Carex,CYPERACEAE,Carex acutiformis
436,Carex,CYPERACEAE,Carex alba
437,Carex,CYPERACEAE,Carex atrata
438,Carex,CYPERACEAE,Carex binervis
439,Carex,CYPERACEAE,Carex brachystachys
440,Carex,CYPERACEAE,Carex brizoides
441,Carex,CYPERACEAE,Carex caryophyllea
442,Carex,CYPERACEAE,Carex cuprina
443,Carex,CYPERACEAE,Carex davalliana
444,Carex,CYPERACEAE,Carex demissa
445,Carex,CYPERACEAE,Carex depauperata
446,Carex,CYPERACEAE,Carex diandra
447,Carex,CYPERACEAE,Carex digitata
448,Carex,CYPERACEAE,Carex distans
449,Carex,CYPERACEAE,Carex disticha
450,Carex,CYPERACEAE,Carex divulsa
451,Carex,CYPERACEAE,Carex echinata
452,Carex,CYPERACEAE,Carex elata
453,Carex,CYPERACEAE,Carex extensa
454,Carex,CYPERACEAE,Carex flacca
455,Carex,CYPERACEAE,Carex flava
456,Carex,CYPERACEAE,Carex grioletii
457,Carex,CYPERACEAE,Carex halleriana
458,Carex,CYPERACEAE,Carex hirta
459,Carex,CYPERACEAE,Carex hostiana
460,Carex,CYPERACEAE,Carex humilis
461,Carex,CYPERACEAE,Carex laevigata
462,Carex,CYPERACEAE,Carex lepidocarpa
463,Carex,CYPERACEAE,Carex limosa
464,Carex,CYPERACEAE,Carex liparocarpos
465,Carex,CYPERACEAE,Carex mairii
466,Carex,CYPERACEAE,Carex montana
467,Carex,CYPERACEAE,Carex muricata
468,Carex,CYPERACEAE,Carex nigra
469,Carex,CYPERACEAE,Carex otrubae
470,Carex,CYPERACEAE,Carex ovalis
471,Carex,CYPERACEAE,Carex pallescens
472,Carex,CYPERACEAE,Carex panicea
473,Carex,CYPERACEAE,Carex paniculata
474,Carex,CYPERACEAE,Carex pendula
475,Carex,CYPERACEAE,Carex pilulifera
476,Carex,CYPERACEAE,Carex pulicaris
477,Carex,CYPERACEAE,Carex pyrenaica
478,Carex,CYPERACEAE,Carex remota
479,Carex,CYPERACEAE,Carex riparia
480,Carex,CYPERACEAE,Carex rostrata
481,Carex,CYPERACEAE,Carex sempervirens
482,Carex,CYPERACEAE,Carex sylvatica
483,Carex,CYPERACEAE,Carex vesicaria
484,Carlina,ASTERACEAE,Carlina acanthifolia
485,Carlina,ASTERACEAE,Carlina acaulis
486,Carlina,ASTERACEAE,Carlina corymbosa
487,Carlina,ASTERACEAE,Carlina vulgaris
488,Carpinus,BETULACEAE,Carpinus betulus
489,Carthamus,ASTERACEAE,Carthamus lanatus
490,Carthamus,ASTERACEAE,Carthamus mitissimus
491,Carum,APIACEAE,Carum carvi
492,Castanea,FAGACEAE,Castanea sativa
493,Catabrosa,POACEAE,Catabrosa aquatica
494,Catananche,ASTERACEAE,Catananche caerulea
495,Cedrus,PINACEAE,Cedrus atlantica
496,Celtis,CANNABACEAE,Celtis australis
497,Cenchrus,POACEAE,Cenchrus ciliaris
498,Centaurea,ASTERACEAE,Centaurea alba
499,Centaurea,ASTERACEAE,Centaurea alpina
500,Centaurea,ASTERACEAE,Centaurea aspera
501,Centaurea,ASTERACEAE,Centaurea calcitrapa
502,Centaurea,ASTERACEAE,Centaurea collina
503,Centaurea,ASTERACEAE,Centaurea cyanus
504,Centaurea,ASTERACEAE,Centaurea debeauxii
505,Centaurea,ASTERACEAE,Centaurea depressa
506,Centaurea,ASTERACEAE,Centaurea diluta
507,Centaurea,ASTERACEAE,Centaurea jacea
508,Centaurea,ASTERACEAE,Centaurea lagascana
509,Centaurea,ASTERACEAE,Centaurea linifolia
510,Centaurea,ASTERACEAE,Centaurea melitensis
511,Centaurea,ASTERACEAE,Centaurea montana
512,Centaurea,ASTERACEAE,Centaurea nigra
513,Centaurea,ASTERACEAE,Centaurea paniculata
514,Centaurea,ASTERACEAE,Centaurea pectinata
515,Centaurea,ASTERACEAE,Centaurea pullata
516,Centaurea,ASTERACEAE,Centaurea scabiosa
517,Centaurea,ASTERACEAE,Centaurea solstitialis
518,Centaurea,ASTERACEAE,Centaurea triumfettii
519,Centaurea,ASTERACEAE,Centaurea uniflora
